Episode 97: Reward = 19716.67, Avg Reward (100) = 8720.61, Epsilon = 0.496, Avg Loss = 1441.3797, Max Q-Value = 16.25, Steps = 23, Reward Breakdown -> Delta_x Reward: 51684.49, Border Penalty: 1851.28, Obstacle Penalty: 5781.76
Episode 98: Reward = -100.00, Avg Reward (100) = 8833.97, Epsilon = 0.496, Avg Loss = 1462.1929, Max Q-Value = 16.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 99: Reward = 500.00, Avg Reward (100) = 8742.81, Epsilon = 0.496, Avg Loss = 1246.9367, Max Q-Value = 16.34, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 100: Reward = 5863.19, Avg Reward (100) = 8659.55, Epsilon = 0.496, Avg Loss = 1507.4433, Max Q-Value = 16.93, Steps = 11, Reward Breakdown -> Delta_x Reward: 19800.00, Border Penalty: 150.00, Obstacle Penalty: 2332.78
Episode 101: Reward = 71983.72, Avg Reward (100) = 8631.59, Epsilon = 0.496, Avg Loss = 1451.2842, Max Q-Value = 16.95, Steps = 27, Reward Breakdown -> Delta_x Reward: 107170.73, Border Penalty: 387.78, Obstacle Penalty: 7032.45
Episode 102: Reward = 58211.38, Avg Reward (100) = 9352.42, Epsilon = 0.496, Avg Loss = 1472.4537, Max Q-Value = 18.23, Steps = 30, Reward Breakdown -> Delta_x Reward: 98035.23, Border Penalty: 932.31, Obstacle Penalty: 7922.16
Episode 103: Reward = 4100.00, Avg Reward (100) = 9935.54, Epsilon = 0.496, Avg Loss = 1663.7145, Max Q-Value = 19.79, Steps = 8, Reward Breakdown -> Delta_x Reward: 14400.00, Border Penalty: 150.00, Obstacle Penalty: 1600.00
Episode 104: Reward = 25509.55, Avg Reward (100) = 9977.54, Epsilon = 0.496, Avg Loss = 1462.6955, Max Q-Value = 20.23, Steps = 25, Reward Breakdown -> Delta_x Reward: 58356.07, Border Penalty: 368.78, Obstacle Penalty: 6546.91
Episode 105: Reward = 113474.45, Avg Reward (100) = 10233.63, Epsilon = 0.496, Avg Loss = 1494.1286, Max Q-Value = 20.88, Steps = 25, Reward Breakdown -> Delta_x Reward: 152789.01, Border Penalty: 440.84, Obstacle Penalty: 6296.96
Episode 106: Reward = 148280.03, Avg Reward (100) = 11369.38, Epsilon = 0.496, Avg Loss = 1589.2286, Max Q-Value = 22.26, Steps = 29, Reward Breakdown -> Delta_x Reward: 191321.50, Border Penalty: 695.00, Obstacle Penalty: 7877.21
Episode 107: Reward = 500.00, Avg Reward (100) = 12853.18, Epsilon = 0.496, Avg Loss = 1840.7478, Max Q-Value = 23.55, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 108: Reward = 9139.18, Avg Reward (100) = 12859.18, Epsilon = 0.496, Avg Loss = 1814.8777, Max Q-Value = 24.30, Steps = 11, Reward Breakdown -> Delta_x Reward: 23789.18, Border Penalty: 900.00, Obstacle Penalty: 2234.50
Episode 109: Reward = -100.00, Avg Reward (100) = 12951.57, Epsilon = 0.496, Avg Loss = 1468.3805, Max Q-Value = 24.16, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
